x,u
0.000000e+000,9.999831e-001
1.000000e-002,9.999824e-001
2.000000e-002,9.999818e-001
3.000000e-002,9.999809e-001
4.000000e-002,9.999798e-001
5.000000e-002,9.999784e-001
6.000000e-002,9.999766e-001
7.000000e-002,9.999744e-001
8.000000e-002,9.999719e-001
9.000000e-002,9.999688e-001
1.000000e-001,9.999652e-001
1.100000e-001,9.999610e-001
1.200000e-001,9.999561e-001
1.300000e-001,9.999504e-001
1.400000e-001,9.999438e-001
1.500000e-001,9.999361e-001
1.600000e-001,9.999272e-001
1.700000e-001,9.999170e-001
1.800000e-001,9.999051e-001
1.900000e-001,9.998915e-001
2.000000e-001,9.998758e-001
2.100000e-001,9.998577e-001
2.200000e-001,9.998370e-001
2.300000e-001,9.998132e-001
2.400000e-001,9.997859e-001
2.500000e-001,9.997546e-001
2.600000e-001,9.997188e-001
2.700000e-001,9.996779e-001
2.800000e-001,9.996312e-001
2.900000e-001,9.995779e-001
3.000000e-001,9.995172e-001
3.100000e-001,9.994481e-001
3.200000e-001,9.993696e-001
3.300000e-001,9.992804e-001
3.400000e-001,9.991792e-001
3.500000e-001,9.990646e-001
3.600000e-001,9.989349e-001
3.700000e-001,9.987884e-001
3.800000e-001,9.986230e-001
3.900000e-001,9.984366e-001
4.000000e-001,9.982267e-001
4.100000e-001,9.979908e-001
4.200000e-001,9.977258e-001
4.300000e-001,9.974287e-001
4.400000e-001,9.970960e-001
4.500000e-001,9.967239e-001
4.600000e-001,9.963083e-001
4.700000e-001,9.958447e-001
4.800000e-001,9.953284e-001
4.900000e-001,9.947541e-001
5.000000e-001,9.941162e-001
5.100000e-001,9.934085e-001
5.200000e-001,9.926247e-001
5.300000e-001,9.917576e-001
5.400000e-001,9.907998e-001
5.500000e-001,9.897434e-001
5.600000e-001,9.885796e-001
5.700000e-001,9.872996e-001
5.800000e-001,9.858935e-001
5.900000e-001,9.843513e-001
6.000000e-001,9.826621e-001
6.100000e-001,9.808146e-001
6.200000e-001,9.787967e-001
6.300000e-001,9.765960e-001
6.400000e-001,9.741991e-001
6.500000e-001,9.715925e-001
6.600000e-001,9.687616e-001
6.700000e-001,9.656917e-001
6.800000e-001,9.623673e-001
6.900000e-001,9.587723e-001
7.000000e-001,9.548903e-001
7.100000e-001,9.507044e-001
7.200000e-001,9.461970e-001
7.300000e-001,9.413505e-001
7.400000e-001,9.361465e-001
7.500000e-001,9.305668e-001
7.600000e-001,9.245925e-001
7.700000e-001,9.182048e-001
7.800000e-001,9.113847e-001
7.900000e-001,9.041130e-001
8.000000e-001,8.963708e-001
8.100000e-001,8.881390e-001
8.200000e-001,8.793990e-001
8.300000e-001,8.701322e-001
8.400000e-001,8.603206e-001
8.500000e-001,8.499464e-001
8.600000e-001,8.389926e-001
8.700000e-001,8.274426e-001
8.800000e-001,8.152808e-001
8.900000e-001,8.024922e-001
9.000000e-001,7.890630e-001
9.100000e-001,7.749801e-001
9.200000e-001,7.602319e-001
9.300000e-001,7.448079e-001
9.400000e-001,7.286988e-001
9.500000e-001,7.118970e-001
9.600000e-001,6.943960e-001
9.700000e-001,6.761914e-001
9.800000e-001,6.572811e-001
9.900000e-001,6.379470e-001
