x,u
0.000000e+000,1.000000e+000
1.000000e-002,4.103810e-001
2.000000e-002,2.209158e-001
3.000000e-002,1.592542e-001
4.000000e-002,1.242606e-001
5.000000e-002,1.016312e-001
6.000000e-002,8.587414e-002
7.000000e-002,7.423067e-002
8.000000e-002,6.527632e-002
9.000000e-002,5.817420e-002
1.000000e-001,5.240302e-002
1.100000e-001,4.762073e-002
1.200000e-001,4.359342e-002
1.300000e-001,4.015570e-002
1.400000e-001,3.718724e-002
1.500000e-001,3.459847e-002
1.600000e-001,3.232125e-002
1.700000e-001,3.030289e-002
1.800000e-001,2.850195e-002
1.900000e-001,2.688543e-002
2.000000e-001,2.542670e-002
2.100000e-001,2.410403e-002
2.200000e-001,2.289953e-002
2.300000e-001,2.179833e-002
2.400000e-001,2.078796e-002
2.500000e-001,1.985789e-002
2.600000e-001,1.899918e-002
2.700000e-001,1.820417e-002
2.800000e-001,1.746626e-002
2.900000e-001,1.677976e-002
3.000000e-001,1.613970e-002
3.100000e-001,1.554175e-002
3.200000e-001,1.498211e-002
3.300000e-001,1.445741e-002
3.400000e-001,1.396470e-002
3.500000e-001,1.350134e-002
3.600000e-001,1.306497e-002
3.700000e-001,1.265351e-002
3.800000e-001,1.226508e-002
3.900000e-001,1.189796e-002
4.000000e-001,1.155065e-002
4.100000e-001,1.122176e-002
4.200000e-001,1.091005e-002
4.300000e-001,1.061436e-002
4.400000e-001,1.033368e-002
4.500000e-001,1.006705e-002
4.600000e-001,9.813616e-003
4.700000e-001,9.572583e-003
4.800000e-001,9.343225e-003
4.900000e-001,9.124875e-003
5.000000e-001,8.916918e-003
5.100000e-001,8.718786e-003
5.200000e-001,8.529955e-003
5.300000e-001,8.349940e-003
5.400000e-001,8.178290e-003
5.500000e-001,8.014588e-003
5.600000e-001,7.858446e-003
5.700000e-001,7.709503e-003
5.800000e-001,7.567422e-003
5.900000e-001,7.431888e-003
6.000000e-001,7.302608e-003
6.100000e-001,7.179309e-003
6.200000e-001,7.061732e-003
6.300000e-001,6.949637e-003
6.400000e-001,6.842799e-003
6.500000e-001,6.741004e-003
6.600000e-001,6.644054e-003
6.700000e-001,6.551760e-003
6.800000e-001,6.463946e-003
6.900000e-001,6.380446e-003
7.000000e-001,6.301101e-003
7.100000e-001,6.225764e-003
7.200000e-001,6.154295e-003
7.300000e-001,6.086559e-003
7.400000e-001,6.022433e-003
7.500000e-001,5.961797e-003
7.600000e-001,5.904538e-003
7.700000e-001,5.850549e-003
7.800000e-001,5.799729e-003
7.900000e-001,5.751981e-003
8.000000e-001,5.707214e-003
8.100000e-001,5.665340e-003
8.200000e-001,5.626277e-003
8.300000e-001,5.589945e-003
8.400000e-001,5.556270e-003
8.500000e-001,5.525179e-003
8.600000e-001,5.496604e-003
8.700000e-001,5.470480e-003
8.800000e-001,5.446744e-003
8.900000e-001,5.425336e-003
9.000000e-001,5.406201e-003
9.100000e-001,5.389282e-003
9.200000e-001,5.374529e-003
9.300000e-001,5.361891e-003
9.400000e-001,5.351320e-003
9.500000e-001,5.342772e-003
9.600000e-001,5.336198e-003
9.700000e-001,5.331573e-003
9.800000e-001,5.328777e-003
9.900000e-001,5.328185e-003
