x,u
0.000000e+000,1.000000e+000
1.000000e-002,4.066514e-001
2.000000e-002,2.159887e-001
3.000000e-002,1.539392e-001
4.000000e-002,1.187273e-001
5.000000e-002,9.595867e-002
6.000000e-002,8.010666e-002
7.000000e-002,6.839516e-002
8.000000e-002,5.939065e-002
9.000000e-002,5.225092e-002
1.000000e-001,4.645137e-002
1.100000e-001,4.164780e-002
1.200000e-001,3.760479e-002
1.300000e-001,3.415589e-002
1.400000e-001,3.118000e-002
1.500000e-001,2.858696e-002
1.600000e-001,2.630820e-002
1.700000e-001,2.429066e-002
1.800000e-001,2.249263e-002
1.900000e-001,2.088088e-002
2.000000e-001,1.942859e-002
2.100000e-001,1.811388e-002
2.200000e-001,1.691872e-002
2.300000e-001,1.582813e-002
2.400000e-001,1.482952e-002
2.500000e-001,1.391230e-002
2.600000e-001,1.306743e-002
2.700000e-001,1.228717e-002
2.800000e-001,1.156488e-002
2.900000e-001,1.089478e-002
3.000000e-001,1.027187e-002
3.100000e-001,9.691743e-003
3.200000e-001,9.150554e-003
3.300000e-001,8.644899e-003
3.400000e-001,8.171765e-003
3.500000e-001,7.728474e-003
3.600000e-001,7.312635e-003
3.700000e-001,6.922107e-003
3.800000e-001,6.554970e-003
3.900000e-001,6.209492e-003
4.000000e-001,5.884108e-003
4.100000e-001,5.577403e-003
4.200000e-001,5.288090e-003
4.300000e-001,5.014996e-003
4.400000e-001,4.757053e-003
4.500000e-001,4.513284e-003
4.600000e-001,4.282791e-003
4.700000e-001,4.064751e-003
4.800000e-001,3.858407e-003
4.900000e-001,3.663060e-003
5.000000e-001,3.478065e-003
5.100000e-001,3.302824e-003
5.200000e-001,3.136785e-003
5.300000e-001,2.979434e-003
5.400000e-001,2.830292e-003
5.500000e-001,2.688917e-003
5.600000e-001,2.554892e-003
5.700000e-001,2.427833e-003
5.800000e-001,2.307377e-003
5.900000e-001,2.193186e-003
6.000000e-001,2.084944e-003
6.100000e-001,1.982355e-003
6.200000e-001,1.885138e-003
6.300000e-001,1.793034e-003
6.400000e-001,1.705796e-003
6.500000e-001,1.623193e-003
6.600000e-001,1.545008e-003
6.700000e-001,1.471034e-003
6.800000e-001,1.401080e-003
6.900000e-001,1.334962e-003
7.000000e-001,1.272509e-003
7.100000e-001,1.213558e-003
7.200000e-001,1.157957e-003
7.300000e-001,1.105560e-003
7.400000e-001,1.056231e-003
7.500000e-001,1.009841e-003
7.600000e-001,9.662670e-004
7.700000e-001,9.253945e-004
7.800000e-001,8.871141e-004
7.900000e-001,8.513230e-004
8.000000e-001,8.179236e-004
8.100000e-001,7.868242e-004
8.200000e-001,7.579379e-004
8.300000e-001,7.311827e-004
8.400000e-001,7.064812e-004
8.500000e-001,6.837605e-004
8.600000e-001,6.629517e-004
8.700000e-001,6.439901e-004
8.800000e-001,6.268146e-004
8.900000e-001,6.113678e-004
9.000000e-001,5.975957e-004
9.100000e-001,5.854478e-004
9.200000e-001,5.748764e-004
9.300000e-001,5.658372e-004
9.400000e-001,5.582883e-004
9.500000e-001,5.521912e-004
9.600000e-001,5.475079e-004
9.700000e-001,5.442147e-004
9.800000e-001,5.422256e-004
9.900000e-001,5.418043e-004
