x,u
0.000000e+000,3.677310e-001
1.000000e-002,3.674401e-001
2.000000e-002,3.671744e-001
3.000000e-002,3.668341e-001
4.000000e-002,3.663995e-001
5.000000e-002,3.658664e-001
6.000000e-002,3.652334e-001
7.000000e-002,3.645003e-001
8.000000e-002,3.636669e-001
9.000000e-002,3.627336e-001
1.000000e-001,3.617006e-001
1.100000e-001,3.605682e-001
1.200000e-001,3.593369e-001
1.300000e-001,3.580072e-001
1.400000e-001,3.565796e-001
1.500000e-001,3.550546e-001
1.600000e-001,3.534329e-001
1.700000e-001,3.517151e-001
1.800000e-001,3.499020e-001
1.900000e-001,3.479941e-001
2.000000e-001,3.459924e-001
2.100000e-001,3.438976e-001
2.200000e-001,3.417105e-001
2.300000e-001,3.394320e-001
2.400000e-001,3.370632e-001
2.500000e-001,3.346048e-001
2.600000e-001,3.320580e-001
2.700000e-001,3.294237e-001
2.800000e-001,3.267031e-001
2.900000e-001,3.238972e-001
3.000000e-001,3.210072e-001
3.100000e-001,3.180343e-001
3.200000e-001,3.149797e-001
3.300000e-001,3.118447e-001
3.400000e-001,3.086306e-001
3.500000e-001,3.053386e-001
3.600000e-001,3.019703e-001
3.700000e-001,2.985269e-001
3.800000e-001,2.950100e-001
3.900000e-001,2.914209e-001
4.000000e-001,2.877613e-001
4.100000e-001,2.840327e-001
4.200000e-001,2.802366e-001
4.300000e-001,2.763747e-001
4.400000e-001,2.724486e-001
4.500000e-001,2.684600e-001
4.600000e-001,2.644106e-001
4.700000e-001,2.603021e-001
4.800000e-001,2.561364e-001
4.900000e-001,2.519152e-001
5.000000e-001,2.476404e-001
5.100000e-001,2.433139e-001
5.200000e-001,2.389375e-001
5.300000e-001,2.345131e-001
5.400000e-001,2.300428e-001
5.500000e-001,2.255285e-001
5.600000e-001,2.209721e-001
5.700000e-001,2.163758e-001
5.800000e-001,2.117416e-001
5.900000e-001,2.070716e-001
6.000000e-001,2.023678e-001
6.100000e-001,1.976325e-001
6.200000e-001,1.928676e-001
6.300000e-001,1.880755e-001
6.400000e-001,1.832582e-001
6.500000e-001,1.784181e-001
6.600000e-001,1.735572e-001
6.700000e-001,1.686779e-001
6.800000e-001,1.637824e-001
6.900000e-001,1.588730e-001
7.000000e-001,1.539519e-001
7.100000e-001,1.490214e-001
7.200000e-001,1.440839e-001
7.300000e-001,1.391415e-001
7.400000e-001,1.341968e-001
7.500000e-001,1.292519e-001
7.600000e-001,1.243093e-001
7.700000e-001,1.193712e-001
7.800000e-001,1.144400e-001
7.900000e-001,1.095180e-001
8.000000e-001,1.046076e-001
8.100000e-001,9.971108e-002
8.200000e-001,9.483081e-002
8.300000e-001,8.996912e-002
8.400000e-001,8.512833e-002
8.500000e-001,8.031075e-002
8.600000e-001,7.551872e-002
8.700000e-001,7.075452e-002
8.800000e-001,6.602045e-002
8.900000e-001,6.131878e-002
9.000000e-001,5.665179e-002
9.100000e-001,5.202171e-002
9.200000e-001,4.743079e-002
9.300000e-001,4.288122e-002
9.400000e-001,3.837521e-002
9.500000e-001,3.391492e-002
9.600000e-001,2.950250e-002
9.700000e-001,2.514007e-002
9.800000e-001,2.082976e-002
9.900000e-001,1.658096e-002
