x,u
0.000000e+000,1.000000e+000
1.000000e-002,4.134714e-001
2.000000e-002,2.249992e-001
3.000000e-002,1.636608e-001
4.000000e-002,1.288506e-001
5.000000e-002,1.063398e-001
6.000000e-002,9.066529e-002
7.000000e-002,7.908282e-002
8.000000e-002,7.017538e-002
9.000000e-002,6.311046e-002
1.000000e-001,5.736950e-002
1.100000e-001,5.261225e-002
1.200000e-001,4.860602e-002
1.300000e-001,4.518628e-002
1.400000e-001,4.223335e-002
1.500000e-001,3.965810e-002
1.600000e-001,3.739277e-002
1.700000e-001,3.538495e-002
1.800000e-001,3.359340e-002
1.900000e-001,3.198531e-002
2.000000e-001,3.053417e-002
2.100000e-001,2.921838e-002
2.200000e-001,2.802014e-002
2.300000e-001,2.692465e-002
2.400000e-001,2.591951e-002
2.500000e-001,2.499426e-002
2.600000e-001,2.413999e-002
2.700000e-001,2.334908e-002
2.800000e-001,2.261497e-002
2.900000e-001,2.193200e-002
3.000000e-001,2.129522e-002
3.100000e-001,2.070034e-002
3.200000e-001,2.014355e-002
3.300000e-001,1.962153e-002
3.400000e-001,1.913133e-002
3.500000e-001,1.867032e-002
3.600000e-001,1.823617e-002
3.700000e-001,1.782679e-002
3.800000e-001,1.744030e-002
3.900000e-001,1.707504e-002
4.000000e-001,1.672947e-002
4.100000e-001,1.640222e-002
4.200000e-001,1.609205e-002
4.300000e-001,1.579784e-002
4.400000e-001,1.551855e-002
4.500000e-001,1.525323e-002
4.600000e-001,1.500105e-002
4.700000e-001,1.476119e-002
4.800000e-001,1.453296e-002
4.900000e-001,1.431567e-002
5.000000e-001,1.410872e-002
5.100000e-001,1.391155e-002
5.200000e-001,1.372362e-002
5.300000e-001,1.354447e-002
5.400000e-001,1.337364e-002
5.500000e-001,1.321072e-002
5.600000e-001,1.305532e-002
5.700000e-001,1.290708e-002
5.800000e-001,1.276567e-002
5.900000e-001,1.263077e-002
6.000000e-001,1.250210e-002
6.100000e-001,1.237937e-002
6.200000e-001,1.226234e-002
6.300000e-001,1.215076e-002
6.400000e-001,1.204441e-002
6.500000e-001,1.194309e-002
6.600000e-001,1.184658e-002
6.700000e-001,1.175470e-002
6.800000e-001,1.166729e-002
6.900000e-001,1.158416e-002
7.000000e-001,1.150518e-002
7.100000e-001,1.143018e-002
7.200000e-001,1.135903e-002
7.300000e-001,1.129159e-002
7.400000e-001,1.122775e-002
7.500000e-001,1.116738e-002
7.600000e-001,1.111038e-002
7.700000e-001,1.105662e-002
7.800000e-001,1.100603e-002
7.900000e-001,1.095849e-002
8.000000e-001,1.091392e-002
8.100000e-001,1.087222e-002
8.200000e-001,1.083333e-002
8.300000e-001,1.079715e-002
8.400000e-001,1.076362e-002
8.500000e-001,1.073267e-002
8.600000e-001,1.070421e-002
8.700000e-001,1.067820e-002
8.800000e-001,1.065457e-002
8.900000e-001,1.063325e-002
9.000000e-001,1.061420e-002
9.100000e-001,1.059735e-002
9.200000e-001,1.058266e-002
9.300000e-001,1.057008e-002
9.400000e-001,1.055955e-002
9.500000e-001,1.055104e-002
9.600000e-001,1.054449e-002
9.700000e-001,1.053989e-002
9.800000e-001,1.053710e-002
9.900000e-001,1.053651e-002
